X,Y,objectid,provincia,municipio,localidad,código_postal,dirección,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha
-1.870444,43.326944,828734,GUIPÚZCOA,LEZO,LEZO,20100,"CARRETERA GI 2638 KM. 3,3",N,-1.870444,43.326944,1.249,1.109,,,1.169,,,,,,,,GALP,P,OM,"L-V: 06:45-23:00; S: 08:00-22:00; D: 09:00-22:00","L-V: 06:45-23:00; S: 08:00-22:00; D: 09:00-22:00",,2017-04-15T00:00:00.000Z
-1.870861,43.327306,828735,GUIPÚZCOA,LEZO,LEZO,20100,"CARRETERA GI 2638 KM. 3,300",I,-1.870861,43.327306,1.249,1.109,,,1.169,,,,,,,,GALP,P,OM,"L-V: 06:45-23:00; S: 08:00-22:00; D: 09:00-22:00","L-V: 06:45-23:00; S: 08:00-22:00; D: 09:00-22:00",,2017-04-15T00:00:00.000Z
-1.879945,43.323611,828736,GUIPÚZCOA,LEZO,LEZO,20100,IPINTZA KALEA 47,D,-1.879945,43.323611,,1.145,,,,,,,,,,,MERKAOIL,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-2.411028,43.313833,828737,GUIPÚZCOA,MUTRIKU,MUTRIKU,20830,"BARRIO MIJOA, ",I,-2.411028,43.313833,1.265,1.139,0.828,,1.139,,,,1.325,,,,AVIA,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-15T00:00:00.000Z
-1.854333,43.319444,828738,GUIPÚZCOA,OIARTZUN,OIARTZUN,20180,"CALLE ARAÑABURU, 7",N,-1.854333,43.319444,,1.154,,,,,,,,,,,FUEL TRUCK,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.876417,43.314639,828739,GUIPÚZCOA,OIARTZUN,OIARTZUN,20180,CARRETERA MADRID-IRUN KM. 469,N,-1.876417,43.314639,1.249,1.119,,,1.139,,,,1.349,,,,CARREFOUR,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.861306,43.317417,828740,GUIPÚZCOA,OIARTZUN,OIARTZUN,20180,"CALLE ARAÑABURU 3-D, 3",N,-1.861306,43.317417,,1.145,0.818,,,,,,,,,,GEXA,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.883028,43.302722,828741,GUIPÚZCOA,OIARTZUN,OIARTZUN,20180,"CALLE ASTIGARRAKO, 4",N,-1.883028,43.302722,1.139,1.009,,,1.069,,,,1.278,,,,ALCAMPO,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.871833,43.296222,828742,GUIPÚZCOA,OIARTZUN,OIARTZUN,20180,"CALLE ARANEDER BIDEA, 1",I,-1.871833,43.296222,1.269,1.145,,,1.215,,,,1.399,,,,REPSOL,P,OM,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-15T00:00:00.000Z
-1.879028,43.311778,828743,GUIPÚZCOA,OIARTZUN,OIARTZUN,20180,"CR N-1, 469,1",D,-1.879028,43.311778,1.269,1.145,,,1.215,,,,1.399,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-1.879528,43.312139,828744,GUIPÚZCOA,OIARTZUN,OIARTZUN,20180,"CR N-1, 469,1",I,-1.879528,43.312139,1.269,1.145,,,1.215,,,,1.399,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-1.852222,43.316611,828745,GUIPÚZCOA,OIARTZUN,OIARTZUN,20180,"AUTOPISTA AP-8 (MRG.IZDO.) KM. 8,3",I,-1.852222,43.316611,1.326,1.165,,,1.225,,,,1.389,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
